fecha,hora,ciudad,latitud,longitud,temperatura_celsius,descripcion_completa
2025-08-04,08:30:00,madrid,40.5,-3.75,27.05,Temperatura día 2025-08-04 a la hora 08:30:00 de la latitud 40.500 y longitud -3.750 : 27.05°C
2025-08-04,09:30:00,madrid,40.5,-3.75,29.98,Temperatura día 2025-08-04 a la hora 09:30:00 de la latitud 40.500 y longitud -3.750 : 29.98°C
2025-08-04,10:30:00,madrid,40.5,-3.75,33.04,Temperatura día 2025-08-04 a la hora 10:30:00 de la latitud 40.500 y longitud -3.750 : 33.04°C
2025-08-04,11:30:00,madrid,40.5,-3.75,35.6,Temperatura día 2025-08-04 a la hora 11:30:00 de la latitud 40.500 y longitud -3.750 : 35.60°C
2025-08-04,12:30:00,madrid,40.5,-3.75,36.98,Temperatura día 2025-08-04 a la hora 12:30:00 de la latitud 40.500 y longitud -3.750 : 36.98°C
2025-08-04,13:30:00,madrid,40.5,-3.75,37.76,Temperatura día 2025-08-04 a la hora 13:30:00 de la latitud 40.500 y longitud -3.750 : 37.76°C
2025-08-04,14:30:00,madrid,40.5,-3.75,38.05,Temperatura día 2025-08-04 a la hora 14:30:00 de la latitud 40.500 y longitud -3.750 : 38.05°C
2025-08-04,15:30:00,madrid,40.5,-3.75,37.98,Temperatura día 2025-08-04 a la hora 15:30:00 de la latitud 40.500 y longitud -3.750 : 37.98°C
2025-08-04,16:30:00,madrid,40.5,-3.75,37.5,Temperatura día 2025-08-04 a la hora 16:30:00 de la latitud 40.500 y longitud -3.750 : 37.50°C
2025-08-04,17:30:00,madrid,40.5,-3.75,36.51,Temperatura día 2025-08-04 a la hora 17:30:00 de la latitud 40.500 y longitud -3.750 : 36.51°C
2025-08-04,18:30:00,madrid,40.5,-3.75,33.79,Temperatura día 2025-08-04 a la hora 18:30:00 de la latitud 40.500 y longitud -3.750 : 33.79°C
2025-08-04,19:30:00,madrid,40.5,-3.75,30.32,Temperatura día 2025-08-04 a la hora 19:30:00 de la latitud 40.500 y longitud -3.750 : 30.32°C
2025-08-04,20:30:00,madrid,40.5,-3.75,29.07,Temperatura día 2025-08-04 a la hora 20:30:00 de la latitud 40.500 y longitud -3.750 : 29.07°C
2025-08-04,21:30:00,madrid,40.5,-3.75,28.24,Temperatura día 2025-08-04 a la hora 21:30:00 de la latitud 40.500 y longitud -3.750 : 28.24°C
2025-08-04,22:30:00,madrid,40.5,-3.75,27.48,Temperatura día 2025-08-04 a la hora 22:30:00 de la latitud 40.500 y longitud -3.750 : 27.48°C
2025-08-04,23:30:00,madrid,40.5,-3.75,26.63,Temperatura día 2025-08-04 a la hora 23:30:00 de la latitud 40.500 y longitud -3.750 : 26.63°C
2025-08-05,00:30:00,madrid,40.5,-3.75,25.33,Temperatura día 2025-08-05 a la hora 00:30:00 de la latitud 40.500 y longitud -3.750 : 25.33°C
2025-08-05,01:30:00,madrid,40.5,-3.75,24.07,Temperatura día 2025-08-05 a la hora 01:30:00 de la latitud 40.500 y longitud -3.750 : 24.07°C
2025-08-05,02:30:00,madrid,40.5,-3.75,22.97,Temperatura día 2025-08-05 a la hora 02:30:00 de la latitud 40.500 y longitud -3.750 : 22.97°C
2025-08-05,03:30:00,madrid,40.5,-3.75,21.96,Temperatura día 2025-08-05 a la hora 03:30:00 de la latitud 40.500 y longitud -3.750 : 21.96°C
2025-08-05,04:30:00,madrid,40.5,-3.75,21.06,Temperatura día 2025-08-05 a la hora 04:30:00 de la latitud 40.500 y longitud -3.750 : 21.06°C
2025-08-05,05:30:00,madrid,40.5,-3.75,20.97,Temperatura día 2025-08-05 a la hora 05:30:00 de la latitud 40.500 y longitud -3.750 : 20.97°C
2025-08-05,06:30:00,madrid,40.5,-3.75,23.25,Temperatura día 2025-08-05 a la hora 06:30:00 de la latitud 40.500 y longitud -3.750 : 23.25°C
2025-08-05,07:30:00,madrid,40.5,-3.75,26.16,Temperatura día 2025-08-05 a la hora 07:30:00 de la latitud 40.500 y longitud -3.750 : 26.16°C
2025-08-05,08:30:00,madrid,40.5,-3.75,29.76,Temperatura día 2025-08-05 a la hora 08:30:00 de la latitud 40.500 y longitud -3.750 : 29.76°C
2025-08-05,09:30:00,madrid,40.5,-3.75,33.61,Temperatura día 2025-08-05 a la hora 09:30:00 de la latitud 40.500 y longitud -3.750 : 33.61°C
2025-08-05,10:30:00,madrid,40.5,-3.75,36.48,Temperatura día 2025-08-05 a la hora 10:30:00 de la latitud 40.500 y longitud -3.750 : 36.48°C
2025-08-05,11:30:00,madrid,40.5,-3.75,37.84,Temperatura día 2025-08-05 a la hora 11:30:00 de la latitud 40.500 y longitud -3.750 : 37.84°C
2025-08-05,12:30:00,madrid,40.5,-3.75,38.69,Temperatura día 2025-08-05 a la hora 12:30:00 de la latitud 40.500 y longitud -3.750 : 38.69°C
2025-08-05,13:30:00,madrid,40.5,-3.75,39.16,Temperatura día 2025-08-05 a la hora 13:30:00 de la latitud 40.500 y longitud -3.750 : 39.16°C
2025-08-05,14:30:00,madrid,40.5,-3.75,39.24,Temperatura día 2025-08-05 a la hora 14:30:00 de la latitud 40.500 y longitud -3.750 : 39.24°C
2025-08-05,15:30:00,madrid,40.5,-3.75,38.94,Temperatura día 2025-08-05 a la hora 15:30:00 de la latitud 40.500 y longitud -3.750 : 38.94°C
2025-08-05,16:30:00,madrid,40.5,-3.75,38.26,Temperatura día 2025-08-05 a la hora 16:30:00 de la latitud 40.500 y longitud -3.750 : 38.26°C
2025-08-05,17:30:00,madrid,40.5,-3.75,37.17,Temperatura día 2025-08-05 a la hora 17:30:00 de la latitud 40.500 y longitud -3.750 : 37.17°C
2025-08-05,18:30:00,madrid,40.5,-3.75,34.54,Temperatura día 2025-08-05 a la hora 18:30:00 de la latitud 40.500 y longitud -3.750 : 34.54°C
2025-08-05,19:30:00,madrid,40.5,-3.75,31.6,Temperatura día 2025-08-05 a la hora 19:30:00 de la latitud 40.500 y longitud -3.750 : 31.60°C
2025-08-05,20:30:00,madrid,40.5,-3.75,30.77,Temperatura día 2025-08-05 a la hora 20:30:00 de la latitud 40.500 y longitud -3.750 : 30.77°C
2025-08-05,21:30:00,madrid,40.5,-3.75,29.99,Temperatura día 2025-08-05 a la hora 21:30:00 de la latitud 40.500 y longitud -3.750 : 29.99°C
2025-08-05,22:30:00,madrid,40.5,-3.75,27.54,Temperatura día 2025-08-05 a la hora 22:30:00 de la latitud 40.500 y longitud -3.750 : 27.54°C
2025-08-05,23:30:00,madrid,40.5,-3.75,25.98,Temperatura día 2025-08-05 a la hora 23:30:00 de la latitud 40.500 y longitud -3.750 : 25.98°C
