ciudad,fecha,hora,latitud,longitud,temperatura_celsius,temperatura_kelvin,descripcion
madrid,2025-08-05,13:30:00,40.5,-3.75,39.16,312.31,Temperatura día 2025-08-05 a la hora 13:30:00 de la latitud 40.500 y longitud -3.750 : 39.16°C
madrid,2025-08-05,14:30:00,40.5,-3.75,39.24,312.39,Temperatura día 2025-08-05 a la hora 14:30:00 de la latitud 40.500 y longitud -3.750 : 39.24°C
madrid,2025-08-05,15:30:00,40.5,-3.75,38.94,312.09,Temperatura día 2025-08-05 a la hora 15:30:00 de la latitud 40.500 y longitud -3.750 : 38.94°C
madrid,2025-08-05,16:30:00,40.5,-3.75,38.26,311.41,Temperatura día 2025-08-05 a la hora 16:30:00 de la latitud 40.500 y longitud -3.750 : 38.26°C
madrid,2025-08-05,17:30:00,40.5,-3.75,37.17,310.32,Temperatura día 2025-08-05 a la hora 17:30:00 de la latitud 40.500 y longitud -3.750 : 37.17°C
madrid,2025-08-05,18:30:00,40.5,-3.75,34.54,307.69,Temperatura día 2025-08-05 a la hora 18:30:00 de la latitud 40.500 y longitud -3.750 : 34.54°C
madrid,2025-08-05,19:30:00,40.5,-3.75,31.6,304.75,Temperatura día 2025-08-05 a la hora 19:30:00 de la latitud 40.500 y longitud -3.750 : 31.60°C
madrid,2025-08-05,20:30:00,40.5,-3.75,30.77,303.92,Temperatura día 2025-08-05 a la hora 20:30:00 de la latitud 40.500 y longitud -3.750 : 30.77°C
madrid,2025-08-05,21:30:00,40.5,-3.75,29.99,303.14,Temperatura día 2025-08-05 a la hora 21:30:00 de la latitud 40.500 y longitud -3.750 : 29.99°C
madrid,2025-08-05,22:30:00,40.5,-3.75,27.54,300.69,Temperatura día 2025-08-05 a la hora 22:30:00 de la latitud 40.500 y longitud -3.750 : 27.54°C
madrid,2025-08-05,23:30:00,40.5,-3.75,25.98,299.13,Temperatura día 2025-08-05 a la hora 23:30:00 de la latitud 40.500 y longitud -3.750 : 25.98°C
barcelona,2025-08-03,00:30:00,41.5,1.875,21.1,294.25,Temperatura día 2025-08-03 a la hora 00:30:00 de la latitud 41.500 y longitud 1.875 : 21.10°C
barcelona,2025-08-03,01:30:00,41.5,1.875,21.23,294.38,Temperatura día 2025-08-03 a la hora 01:30:00 de la latitud 41.500 y longitud 1.875 : 21.23°C
barcelona,2025-08-03,02:30:00,41.5,1.875,21.34,294.49,Temperatura día 2025-08-03 a la hora 02:30:00 de la latitud 41.500 y longitud 1.875 : 21.34°C
barcelona,2025-08-03,03:30:00,41.5,1.875,21.15,294.3,Temperatura día 2025-08-03 a la hora 03:30:00 de la latitud 41.500 y longitud 1.875 : 21.15°C
barcelona,2025-08-03,04:30:00,41.5,1.875,20.72,293.87,Temperatura día 2025-08-03 a la hora 04:30:00 de la latitud 41.500 y longitud 1.875 : 20.72°C
barcelona,2025-08-03,05:30:00,41.5,1.875,21.68,294.83,Temperatura día 2025-08-03 a la hora 05:30:00 de la latitud 41.500 y longitud 1.875 : 21.68°C
barcelona,2025-08-03,06:30:00,41.5,1.875,23.13,296.28,Temperatura día 2025-08-03 a la hora 06:30:00 de la latitud 41.500 y longitud 1.875 : 23.13°C
barcelona,2025-08-03,07:30:00,41.5,1.875,24.3,297.45,Temperatura día 2025-08-03 a la hora 07:30:00 de la latitud 41.500 y longitud 1.875 : 24.30°C
barcelona,2025-08-03,08:30:00,41.5,1.875,25.38,298.53,Temperatura día 2025-08-03 a la hora 08:30:00 de la latitud 41.500 y longitud 1.875 : 25.38°C
barcelona,2025-08-03,09:30:00,41.5,1.875,26.41,299.56,Temperatura día 2025-08-03 a la hora 09:30:00 de la latitud 41.500 y longitud 1.875 : 26.41°C
barcelona,2025-08-03,10:30:00,41.5,1.875,27.31,300.46,Temperatura día 2025-08-03 a la hora 10:30:00 de la latitud 41.500 y longitud 1.875 : 27.31°C
barcelona,2025-08-03,11:30:00,41.5,1.875,28.27,301.42,Temperatura día 2025-08-03 a la hora 11:30:00 de la latitud 41.500 y longitud 1.875 : 28.27°C
barcelona,2025-08-03,12:30:00,41.5,1.875,28.97,302.12,Temperatura día 2025-08-03 a la hora 12:30:00 de la latitud 41.500 y longitud 1.875 : 28.97°C
barcelona,2025-08-03,13:30:00,41.5,1.875,29.19,302.34,Temperatura día 2025-08-03 a la hora 13:30:00 de la latitud 41.500 y longitud 1.875 : 29.19°C
barcelona,2025-08-03,14:30:00,41.5,1.875,29.15,302.3,Temperatura día 2025-08-03 a la hora 14:30:00 de la latitud 41.500 y longitud 1.875 : 29.15°C
barcelona,2025-08-03,15:30:00,41.5,1.875,28.74,301.89,Temperatura día 2025-08-03 a la hora 15:30:00 de la latitud 41.500 y longitud 1.875 : 28.74°C
barcelona,2025-08-03,16:30:00,41.5,1.875,27.77,300.92,Temperatura día 2025-08-03 a la hora 16:30:00 de la latitud 41.500 y longitud 1.875 : 27.77°C
barcelona,2025-08-03,17:30:00,41.5,1.875,26.24,299.39,Temperatura día 2025-08-03 a la hora 17:30:00 de la latitud 41.500 y longitud 1.875 : 26.24°C
barcelona,2025-08-03,18:30:00,41.5,1.875,24.35,297.5,Temperatura día 2025-08-03 a la hora 18:30:00 de la latitud 41.500 y longitud 1.875 : 24.35°C
barcelona,2025-08-03,19:30:00,41.5,1.875,22.72,295.87,Temperatura día 2025-08-03 a la hora 19:30:00 de la latitud 41.500 y longitud 1.875 : 22.72°C
barcelona,2025-08-03,20:30:00,41.5,1.875,21.83,294.98,Temperatura día 2025-08-03 a la hora 20:30:00 de la latitud 41.500 y longitud 1.875 : 21.83°C
barcelona,2025-08-03,21:30:00,41.5,1.875,21.33,294.48,Temperatura día 2025-08-03 a la hora 21:30:00 de la latitud 41.500 y longitud 1.875 : 21.33°C
barcelona,2025-08-03,22:30:00,41.5,1.875,21.04,294.19,Temperatura día 2025-08-03 a la hora 22:30:00 de la latitud 41.500 y longitud 1.875 : 21.04°C
barcelona,2025-08-03,23:30:00,41.5,1.875,20.92,294.07,Temperatura día 2025-08-03 a la hora 23:30:00 de la latitud 41.500 y longitud 1.875 : 20.92°C
barcelona,2025-08-04,00:30:00,41.5,1.875,20.95,294.1,Temperatura día 2025-08-04 a la hora 00:30:00 de la latitud 41.500 y longitud 1.875 : 20.95°C
barcelona,2025-08-04,01:30:00,41.5,1.875,20.63,293.78,Temperatura día 2025-08-04 a la hora 01:30:00 de la latitud 41.500 y longitud 1.875 : 20.63°C
barcelona,2025-08-04,02:30:00,41.5,1.875,20.32,293.47,Temperatura día 2025-08-04 a la hora 02:30:00 de la latitud 41.500 y longitud 1.875 : 20.32°C
barcelona,2025-08-04,03:30:00,41.5,1.875,19.95,293.1,Temperatura día 2025-08-04 a la hora 03:30:00 de la latitud 41.500 y longitud 1.875 : 19.95°C
barcelona,2025-08-04,04:30:00,41.5,1.875,19.55,292.7,Temperatura día 2025-08-04 a la hora 04:30:00 de la latitud 41.500 y longitud 1.875 : 19.55°C
barcelona,2025-08-04,05:30:00,41.5,1.875,20.61,293.76,Temperatura día 2025-08-04 a la hora 05:30:00 de la latitud 41.500 y longitud 1.875 : 20.61°C
barcelona,2025-08-04,06:30:00,41.5,1.875,22.8,295.95,Temperatura día 2025-08-04 a la hora 06:30:00 de la latitud 41.500 y longitud 1.875 : 22.80°C
barcelona,2025-08-04,07:30:00,41.5,1.875,24.69,297.84,Temperatura día 2025-08-04 a la hora 07:30:00 de la latitud 41.500 y longitud 1.875 : 24.69°C
barcelona,2025-08-04,08:30:00,41.5,1.875,26.33,299.48,Temperatura día 2025-08-04 a la hora 08:30:00 de la latitud 41.500 y longitud 1.875 : 26.33°C
barcelona,2025-08-04,09:30:00,41.5,1.875,27.73,300.88,Temperatura día 2025-08-04 a la hora 09:30:00 de la latitud 41.500 y longitud 1.875 : 27.73°C
barcelona,2025-08-04,10:30:00,41.5,1.875,29.12,302.27,Temperatura día 2025-08-04 a la hora 10:30:00 de la latitud 41.500 y longitud 1.875 : 29.12°C
barcelona,2025-08-04,11:30:00,41.5,1.875,30.26,303.41,Temperatura día 2025-08-04 a la hora 11:30:00 de la latitud 41.500 y longitud 1.875 : 30.26°C
barcelona,2025-08-04,12:30:00,41.5,1.875,31.03,304.18,Temperatura día 2025-08-04 a la hora 12:30:00 de la latitud 41.500 y longitud 1.875 : 31.03°C
